Transaction_Amount,Transaction_Type,Hour,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent,is_night,is_business_hours,high_velocity,new_account,Amount_Category,Transaction_Type_enc,Device_Used_enc,Location_enc,Payment_Method_enc
3521.89,Bill Payment,14,Mobile,San Francisco,1,22,12,UPI,0,0,1,1,1,High,2,1,6,3
973.51,Bill Payment,2,Mobile,New York,1,43,12,UPI,0,1,0,1,0,Medium,2,1,5,3
2553.98,ATM Withdrawal,3,Mobile,Miami,1,7,9,Net Banking,0,1,0,0,1,High,0,1,4,2
2222.86,POS Payment,14,Mobile,Miami,1,103,10,UPI,0,0,1,0,0,High,4,1,4,3
2524.1,ATM Withdrawal,7,Mobile,Boston,3,8,10,Net Banking,0,0,0,0,1,High,0,1,0,2
2715.14,POS Payment,4,Unknown,Boston,1,71,10,Net Banking,0,1,0,0,0,High,4,3,0,2
2524.1,Online Purchase,17,Mobile,Miami,2,63,8,UPI,0,0,1,0,0,High,3,1,4,3
4065.44,Online Purchase,21,Tablet,New York,4,99,9,Net Banking,0,0,0,0,0,High,3,2,5,2
4519.04,Bill Payment,13,Tablet,Boston,0,81,10,Credit Card,1,0,1,0,0,High,2,2,0,0
153.05,Bill Payment,20,Mobile,Los Angeles,3,82,2,Debit Card,0,0,0,0,0,Low,2,1,3,1
705.98,Online Purchase,12,Mobile,Los Angeles,3,2,11,UPI,0,0,1,0,1,Medium,3,1,3,3
428.39,POS Payment,20,Desktop,New York,0,85,10,Credit Card,0,0,0,0,0,Low,4,0,5,0
1319.84,ATM Withdrawal,12,Mobile,Houston,3,81,2,Debit Card,0,0,1,0,0,High,0,1,2,1
2212.25,Online Purchase,10,Desktop,New York,4,14,13,UPI,0,0,1,1,1,High,3,0,5,3
3212.06,Online Purchase,20,Mobile,San Francisco,0,31,2,UPI,0,0,0,0,0,High,3,1,6,3
2506.65,Bank Transfer,5,Tablet,Miami,0,108,13,Debit Card,0,1,0,1,0,High,1,2,4,1
4516.4,Bill Payment,7,Mobile,Houston,0,110,10,Net Banking,0,0,0,0,0,High,2,1,2,2
4699.58,POS Payment,15,Desktop,San Francisco,1,14,14,Net Banking,0,0,1,1,1,High,4,0,6,2
821.79,ATM Withdrawal,7,Mobile,San Francisco,2,116,10,Credit Card,0,0,0,0,0,Medium,0,1,6,0
4265.3,Bank Transfer,0,Tablet,Seattle,4,15,4,UPI,0,1,0,0,1,High,1,2,7,3
2411.2,Bank Transfer,19,Mobile,New York,4,14,12,Unknown,0,0,0,1,1,High,1,1,5,4
2269.38,Online Purchase,8,Tablet,New York,0,51,1,Debit Card,0,0,0,0,0,High,3,2,5,1
3925.77,Bill Payment,13,Mobile,Houston,2,71,1,Unknown,0,0,1,0,0,High,2,1,2,4
470.24,Online Purchase,11,Desktop,Boston,2,8,3,Debit Card,0,0,1,0,1,Low,3,0,0,1
4413.05,Bank Transfer,21,Desktop,Boston,4,46,11,Credit Card,1,0,0,0,0,High,1,0,0,0
3355.96,Bank Transfer,4,Desktop,Houston,0,21,3,Net Banking,0,1,0,0,1,High,1,0,2,2
4376.93,ATM Withdrawal,20,Mobile,New York,1,94,7,Net Banking,0,0,0,0,0,High,0,1,5,2
4972.42,Online Purchase,13,Tablet,Houston,1,93,14,Credit Card,0,0,1,1,0,High,3,2,2,0
2592.43,Online Purchase,13,Tablet,New York,1,119,14,Net Banking,0,0,1,1,0,High,3,2,5,2
470.84,POS Payment,12,Tablet,New York,1,70,3,Net Banking,0,0,1,0,0,Low,4,2,5,2
2524.1,ATM Withdrawal,4,Mobile,Boston,3,10,7,Debit Card,0,1,0,0,1,High,0,1,0,1
1621.47,Bill Payment,17,Desktop,Los Angeles,4,108,5,Debit Card,0,0,1,0,0,High,2,0,3,1
522.25,Online Purchase,8,Mobile,Miami,0,1,1,Net Banking,0,0,0,0,1,Medium,3,1,4,2
4077.63,Online Purchase,18,Desktop,Houston,1,85,12,Debit Card,0,0,0,1,0,High,3,0,2,1
1487.85,Bill Payment,0,Mobile,Houston,0,21,5,Debit Card,0,1,0,0,1,High,2,1,2,1
4879.55,ATM Withdrawal,1,Desktop,Houston,0,58,11,Net Banking,0,1,0,0,0,High,0,0,2,2
3514.44,Online Purchase,20,Tablet,San Francisco,2,112,6,Net Banking,0,0,0,0,0,High,3,2,6,2
871.28,Bill Payment,11,Mobile,Chicago,3,41,14,Net Banking,0,0,1,1,0,Medium,2,1,1,2
2382.83,POS Payment,12,Unknown Device,New York,0,27,14,Credit Card,0,0,1,1,1,High,4,4,5,0
2337.09,Online Purchase,20,Tablet,Chicago,0,19,7,UPI,0,0,0,0,1,High,3,2,1,3
2465.1,Bill Payment,18,Tablet,Houston,2,41,14,Credit Card,0,0,0,1,0,High,2,2,2,0
2680.78,Bank Transfer,21,Mobile,Los Angeles,3,68,5,Credit Card,0,0,0,0,0,High,1,1,3,0
160.71,Online Purchase,19,Mobile,Miami,3,35,11,Debit Card,0,0,0,0,0,Low,3,1,4,1
3433.07,POS Payment,1,Mobile,Los Angeles,2,7,2,UPI,0,1,0,0,1,High,4,1,3,3
2438.52,Bill Payment,3,Mobile,Seattle,1,18,11,Credit Card,0,1,0,0,1,High,2,1,7,0
3955.87,Bill Payment,20,Unknown,New York,4,106,4,UPI,0,0,0,0,0,High,2,3,5,3
4077.67,Online Purchase,5,Mobile,Chicago,0,13,12,Unknown,0,1,0,1,1,High,3,1,1,4
1156.52,Bank Transfer,16,Desktop,San Francisco,4,29,12,UPI,0,0,1,1,1,High,1,0,6,3
246.87,Bill Payment,22,Mobile,Seattle,1,1,6,Debit Card,0,1,0,0,1,Low,2,1,7,1
3517.65,Bill Payment,0,Desktop,Boston,2,29,8,UPI,1,1,0,0,1,High,2,0,0,3
4888.93,Bank Transfer,19,Desktop,Chicago,0,109,2,Net Banking,0,0,0,0,0,High,1,0,1,2
2236.06,POS Payment,9,Mobile,Boston,2,63,3,Unknown,0,0,1,0,0,High,4,1,0,4
1301.77,Online Purchase,3,Mobile,Chicago,4,61,8,Unknown,0,1,0,0,0,High,3,1,1,4
787.58,Online Purchase,0,Mobile,Unknown,1,103,1,Credit Card,0,1,0,0,0,Medium,3,1,8,0
1440.79,Online Purchase,15,Tablet,Miami,2,16,1,Net Banking,1,0,1,0,1,High,3,2,4,2
1642.96,ATM Withdrawal,18,Tablet,Unknown,0,74,11,UPI,0,0,0,0,0,High,0,2,8,3
2122.25,Online Purchase,14,Desktop,Los Angeles,3,28,14,Net Banking,0,0,1,1,1,High,3,0,3,2
3278.76,Bank Transfer,3,Unknown,Miami,2,107,13,UPI,0,1,0,1,0,High,1,3,4,3
1369.45,Online Purchase,0,Desktop,Miami,2,78,3,Unknown,0,1,0,0,0,High,3,0,4,4
259.63,POS Payment,16,Desktop,Houston,4,65,9,Net Banking,0,0,1,0,0,Low,4,0,2,2
1869.53,ATM Withdrawal,18,Tablet,San Francisco,1,79,9,UPI,0,0,0,0,0,High,0,2,6,3
4278.87,Bank Transfer,20,Desktop,Houston,3,18,7,UPI,0,0,0,0,1,High,1,0,2,3
2494.27,Bank Transfer,13,Desktop,San Francisco,3,44,6,UPI,1,0,1,0,0,High,1,0,6,3
4824.09,POS Payment,8,Desktop,Boston,3,77,4,UPI,0,0,0,0,0,High,4,0,0,3
2520.59,Online Purchase,14,Desktop,Chicago,2,40,12,Net Banking,0,0,1,1,0,High,3,0,1,2
1383.11,ATM Withdrawal,12,Mobile,Boston,3,20,11,Credit Card,1,0,1,0,1,High,0,1,0,0
970.6,ATM Withdrawal,8,Mobile,Los Angeles,3,11,2,Credit Card,0,0,0,0,1,Medium,0,1,3,0
3474.15,ATM Withdrawal,17,Desktop,Chicago,2,50,14,Net Banking,0,0,1,1,0,High,0,0,1,2
2684.22,Bank Transfer,12,Tablet,Boston,3,45,14,Debit Card,0,0,1,1,0,High,1,2,0,1
3021.97,POS Payment,10,Desktop,San Francisco,1,8,14,Debit Card,0,0,1,1,1,High,4,0,6,1
3776.86,Bank Transfer,4,Desktop,Miami,4,114,6,Net Banking,0,1,0,0,0,High,1,0,4,2
3630.89,Online Purchase,18,Desktop,San Francisco,3,37,1,UPI,0,0,0,0,0,High,3,0,6,3
221.6,Bill Payment,5,Desktop,Houston,3,116,9,UPI,0,1,0,0,0,Low,2,0,2,3
4013.85,ATM Withdrawal,2,Tablet,Los Angeles,4,57,12,Credit Card,0,1,0,1,0,High,0,2,3,0
2665.85,ATM Withdrawal,15,Desktop,Miami,2,48,7,Net Banking,0,0,1,0,0,High,0,0,4,2
1961.58,ATM Withdrawal,17,Mobile,New York,0,30,4,Unknown,0,0,1,0,0,High,0,1,5,4
2689.91,Bank Transfer,9,Desktop,Unknown,2,77,12,UPI,0,0,1,1,0,High,1,0,8,3
3064.19,ATM Withdrawal,2,Mobile,Miami,2,116,3,Debit Card,0,1,0,0,0,High,0,1,4,1
751.78,ATM Withdrawal,1,Unknown,Houston,4,89,8,Credit Card,0,1,0,0,0,Medium,0,3,2,0
2089.99,Bill Payment,0,Tablet,Chicago,3,16,11,Credit Card,0,1,0,0,1,High,2,2,1,0
1681.25,POS Payment,15,Mobile,Miami,0,10,5,Net Banking,0,0,1,0,1,High,4,1,4,2
1755.29,Online Purchase,15,Tablet,Boston,1,9,1,Credit Card,0,0,1,0,1,High,3,2,0,0
461.22,Bank Transfer,22,Mobile,Houston,4,104,1,UPI,0,1,0,0,0,Low,1,1,2,3
803.42,Online Purchase,21,Unknown,Los Angeles,4,67,3,Debit Card,0,0,0,0,0,Medium,3,3,3,1
813.35,POS Payment,3,Tablet,Unknown,2,28,11,UPI,0,1,0,0,1,Medium,4,2,8,3
1869.26,Online Purchase,12,Desktop,Miami,3,79,8,Unknown,0,0,1,0,0,High,3,0,4,4
4472.99,Bank Transfer,18,Tablet,Chicago,0,100,14,Credit Card,0,0,0,1,0,High,1,2,1,0
1034.11,Bill Payment,5,Tablet,Chicago,1,51,2,Net Banking,0,1,0,0,0,High,2,2,1,2
2083.88,Online Purchase,15,Tablet,San Francisco,4,30,8,Credit Card,0,0,1,0,0,High,3,2,6,0
1561.49,POS Payment,3,Desktop,Houston,0,117,6,Net Banking,0,1,0,0,0,High,4,0,2,2
3937.98,Bank Transfer,5,Desktop,Chicago,3,119,13,Debit Card,0,1,0,1,0,High,1,0,1,1
255.38,POS Payment,6,Tablet,New York,2,41,1,Credit Card,0,0,0,0,0,Low,4,2,5,0
2524.1,Online Purchase,18,Mobile,Unknown,1,116,11,UPI,0,0,0,0,0,High,3,1,8,3
1057.15,Bank Transfer,19,Desktop,New York,0,47,13,Unknown,0,0,0,1,0,High,1,0,5,4
4964.85,Online Purchase,13,Mobile,Chicago,0,58,4,Debit Card,0,0,1,0,0,High,3,1,1,1
2856.02,ATM Withdrawal,12,Mobile,Miami,3,44,11,Net Banking,0,0,1,0,0,High,0,1,4,2
699.1,Bank Transfer,21,Tablet,Unknown,4,38,1,Credit Card,0,0,0,0,0,Medium,1,2,8,0
1364.63,Online Purchase,17,Tablet,Miami,3,3,10,Unknown,0,0,1,0,1,High,3,2,4,4
843.27,Bank Transfer,23,Desktop,Los Angeles,4,86,10,Debit Card,0,1,0,0,0,Medium,1,0,3,1
627.4,Bill Payment,18,Tablet,New York,0,34,1,UPI,0,0,0,0,0,Medium,2,2,5,3
3986.92,ATM Withdrawal,2,Mobile,Chicago,3,109,11,Credit Card,0,1,0,0,0,High,0,1,1,0
2481.28,POS Payment,4,Tablet,Los Angeles,2,80,5,Debit Card,0,1,0,0,0,High,4,2,3,1
3157.89,Online Purchase,9,Desktop,New York,2,43,1,Credit Card,0,0,1,0,0,High,3,0,5,0
1659.6,POS Payment,6,Tablet,Chicago,0,11,7,Debit Card,0,0,0,0,1,High,4,2,1,1
2770.71,Online Purchase,14,Tablet,New York,0,90,4,Credit Card,0,0,1,0,0,High,3,2,5,0
1291.56,Bank Transfer,23,Mobile,Chicago,1,4,8,Unknown,0,1,0,0,1,High,1,1,1,4
1543.64,POS Payment,22,Tablet,San Francisco,2,3,13,Debit Card,0,1,0,1,1,High,4,2,6,1
3262.93,ATM Withdrawal,23,Unknown,New York,0,5,6,UPI,0,1,0,0,1,High,0,3,5,3
756,Online Purchase,23,Tablet,Seattle,0,85,10,Net Banking,0,1,0,0,0,Medium,3,2,7,2
3088.02,POS Payment,17,Unknown,San Francisco,1,91,3,Credit Card,0,0,1,0,0,High,4,3,6,0
4261.91,Online Purchase,12,Tablet,New York,0,112,5,Net Banking,0,0,1,0,0,High,3,2,5,2
606.51,Bill Payment,17,Unknown,Unknown,4,42,8,Debit Card,1,0,1,0,0,Medium,2,3,8,1
4487.82,Bill Payment,8,Desktop,San Francisco,2,83,14,Net Banking,0,0,0,1,0,High,2,0,6,2
401.83,POS Payment,3,Desktop,Los Angeles,2,49,2,UPI,0,1,0,0,0,Low,4,0,3,3
1747.8,Bill Payment,21,Desktop,Miami,2,102,7,Credit Card,0,0,0,0,0,High,2,0,4,0
2524.1,ATM Withdrawal,14,Mobile,Seattle,0,115,13,Debit Card,0,0,1,1,0,High,0,1,7,1
2799.28,POS Payment,22,Desktop,Los Angeles,1,54,8,Debit Card,0,1,0,0,0,High,4,0,3,1
486.47,Bank Transfer,0,Unknown,Seattle,2,12,14,Net Banking,0,1,0,1,1,Low,1,3,7,2
3995.57,POS Payment,14,Tablet,Los Angeles,2,12,3,Debit Card,0,0,1,0,1,High,4,2,3,1
4865.9,Bank Transfer,23,Tablet,San Francisco,1,72,14,Credit Card,0,1,0,1,0,High,1,2,6,0
910.24,Bill Payment,10,Desktop,San Francisco,2,80,14,Credit Card,0,0,1,1,0,Medium,2,0,6,0
4476.18,POS Payment,0,Tablet,Los Angeles,1,83,9,Credit Card,0,1,0,0,0,High,4,2,3,0
2786.26,ATM Withdrawal,23,Tablet,Unknown,2,27,3,UPI,0,1,0,0,1,High,0,2,8,3
4679.99,Bill Payment,13,Desktop,San Francisco,1,40,7,Credit Card,0,0,1,0,0,High,2,0,6,0
884.55,Bill Payment,14,Tablet,Chicago,3,93,7,Net Banking,0,0,1,0,0,Medium,2,2,1,2
3961.15,Bill Payment,16,Tablet,Seattle,4,4,7,UPI,0,0,1,0,1,High,2,2,7,3
303.61,Bank Transfer,1,Mobile,Seattle,4,69,7,Net Banking,0,1,0,0,0,Low,1,1,7,2
4416.57,Bank Transfer,17,Tablet,Los Angeles,1,16,14,Net Banking,0,0,1,1,1,High,1,2,3,2
3372.43,ATM Withdrawal,19,Mobile,Houston,0,65,12,UPI,0,0,0,1,0,High,0,1,2,3
2524.1,Bank Transfer,17,Desktop,San Francisco,4,69,11,UPI,0,0,1,0,0,High,1,0,6,3
956.38,Online Purchase,21,Desktop,New York,2,23,10,Net Banking,0,0,0,0,1,Medium,3,0,5,2
4083.58,Online Purchase,12,Desktop,Los Angeles,0,91,10,Debit Card,0,0,1,0,0,High,3,0,3,1
3018.19,POS Payment,6,Tablet,Boston,4,5,8,UPI,0,0,0,0,1,High,4,2,0,3
1805.28,Bill Payment,0,Tablet,Chicago,3,112,7,UPI,0,1,0,0,0,High,2,2,1,3
2221.96,Online Purchase,1,Tablet,Chicago,0,11,11,Net Banking,0,1,0,0,1,High,3,2,1,2
4133.58,Bank Transfer,22,Desktop,Miami,4,70,12,Net Banking,0,1,0,1,0,High,1,0,4,2
1697.94,ATM Withdrawal,18,Tablet,Seattle,0,114,3,Credit Card,0,0,0,0,0,High,0,2,7,0
452.72,Bank Transfer,15,Desktop,Houston,0,72,2,Debit Card,0,0,1,0,0,Low,1,0,2,1
4556.85,Bill Payment,4,Mobile,Chicago,2,93,7,UPI,0,1,0,0,0,High,2,1,1,3
1939.78,Bill Payment,1,Desktop,Miami,4,27,12,Debit Card,0,1,0,1,1,High,2,0,4,1
1745.2,Online Purchase,12,Mobile,Seattle,2,48,3,Net Banking,1,0,1,0,0,High,3,1,7,2
1025.98,Online Purchase,18,Mobile,Houston,0,13,2,Credit Card,0,0,0,0,1,High,3,1,2,0
4487.63,Bank Transfer,10,Tablet,Chicago,4,29,8,Net Banking,0,0,1,0,1,High,1,2,1,2
1091.44,POS Payment,21,Desktop,Miami,1,65,14,UPI,0,0,0,1,0,High,4,0,4,3
2524.1,Bank Transfer,14,Desktop,Chicago,4,74,4,Net Banking,0,0,1,0,0,High,1,0,1,2
4404.42,Online Purchase,12,Tablet,Unknown,2,36,9,Net Banking,0,0,1,0,0,High,3,2,8,2
179.39,POS Payment,22,Desktop,San Francisco,2,66,12,Net Banking,0,1,0,1,0,Low,4,0,6,2
49997.8,POS Payment,3,Desktop,Miami,3,108,8,UPI,0,1,0,0,0,Very High,4,0,4,3
2055.94,Online Purchase,12,Mobile,Miami,4,68,13,UPI,0,0,1,1,0,High,3,1,4,3
3291.58,Bank Transfer,7,Unknown Device,New York,0,38,3,Net Banking,0,0,0,0,0,High,1,4,5,2
1865.16,ATM Withdrawal,14,Tablet,Unknown,1,96,1,Credit Card,0,0,1,0,0,High,0,2,8,0
3479.1,Online Purchase,1,Mobile,New York,2,14,11,Unknown,0,1,0,0,1,High,3,1,5,4
1275.2,Bank Transfer,19,Mobile,Boston,1,97,11,Net Banking,0,0,0,0,0,High,1,1,0,2
114.54,ATM Withdrawal,12,Tablet,New York,3,86,2,UPI,0,0,1,0,0,Low,0,2,5,3
4739.2,Bill Payment,2,Tablet,Boston,3,82,12,Debit Card,1,1,0,1,0,High,2,2,0,1
86.76,Bill Payment,3,Tablet,Miami,4,117,6,UPI,0,1,0,0,0,Very Low,2,2,4,3
4121.38,Bill Payment,4,Mobile,Houston,3,76,13,Net Banking,0,1,0,1,0,High,2,1,2,2
849.84,ATM Withdrawal,4,Desktop,San Francisco,2,76,7,UPI,0,1,0,0,0,Medium,0,0,6,3
1964.14,POS Payment,12,Tablet,Boston,0,6,8,Net Banking,0,0,1,0,1,High,4,2,0,2
4113.35,Bill Payment,19,Tablet,Boston,0,5,5,Credit Card,0,0,0,0,1,High,2,2,0,0
1033.63,Bill Payment,11,Tablet,Los Angeles,0,11,8,UPI,0,0,1,0,1,High,2,2,3,3
4329.21,POS Payment,22,Mobile,Boston,0,86,6,Net Banking,0,1,0,0,0,High,4,1,0,2
2491.31,ATM Withdrawal,12,Desktop,Unknown,1,54,4,UPI,0,0,1,0,0,High,0,0,8,3
1833.94,ATM Withdrawal,15,Desktop,Houston,0,117,12,Debit Card,0,0,1,1,0,High,0,0,2,1
3313.88,POS Payment,20,Mobile,San Francisco,3,81,2,Credit Card,0,0,0,0,0,High,4,1,6,0
1710.24,Online Purchase,2,Mobile,San Francisco,4,76,3,UPI,0,1,0,0,0,High,3,1,6,3
1739.71,POS Payment,19,Mobile,Miami,0,2,8,Net Banking,0,0,0,0,1,High,4,1,4,2
3668.96,Bank Transfer,2,Unknown Device,Houston,2,102,9,Debit Card,0,1,0,0,0,High,1,4,2,1
1552.61,Bank Transfer,10,Desktop,Miami,0,95,11,Debit Card,0,0,1,0,0,High,1,0,4,1
1007.86,Online Purchase,5,Tablet,Seattle,3,78,13,Unknown,0,1,0,1,0,High,3,2,7,4
4039.19,Online Purchase,13,Desktop,Boston,1,33,2,UPI,0,0,1,0,0,High,3,0,0,3
4027.83,Bank Transfer,3,Desktop,Miami,1,34,10,UPI,0,1,0,0,0,High,1,0,4,3
2490.44,POS Payment,1,Desktop,Seattle,3,101,12,UPI,0,1,0,1,0,High,4,0,7,3
2635.64,ATM Withdrawal,14,Desktop,New York,0,63,2,UPI,0,0,1,0,0,High,0,0,5,3
3481.9,Bank Transfer,12,Tablet,New York,3,65,13,Credit Card,0,0,1,1,0,High,1,2,5,0
2524.1,POS Payment,11,Mobile,Houston,3,13,14,Debit Card,1,0,1,1,1,High,4,1,2,1
2088.11,Bank Transfer,13,Mobile,Boston,3,1,3,Credit Card,0,0,1,0,1,High,1,1,0,0
4974.5,ATM Withdrawal,17,Desktop,Houston,2,27,13,Debit Card,0,0,1,1,1,High,0,0,2,1
742.46,Bank Transfer,13,Desktop,Chicago,3,20,10,UPI,0,0,1,0,1,Medium,1,0,1,3
2965.68,Bank Transfer,3,Tablet,Los Angeles,0,59,7,UPI,0,1,0,0,0,High,1,2,3,3
4429.89,ATM Withdrawal,17,Unknown,Miami,1,39,6,UPI,1,0,1,0,0,High,0,3,4,3
3437.64,Bill Payment,12,Tablet,New York,1,16,4,Debit Card,0,0,1,0,1,High,2,2,5,1
4405.21,Bank Transfer,16,Desktop,Boston,2,48,3,UPI,0,0,1,0,0,High,1,0,0,3
1684.99,Bank Transfer,0,Mobile,Seattle,1,105,9,Net Banking,0,1,0,0,0,High,1,1,7,2
1363.6,Bank Transfer,15,Unknown,Chicago,1,69,14,Net Banking,0,0,1,1,0,High,1,3,1,2
4257.11,Online Purchase,6,Desktop,Boston,3,42,10,UPI,0,0,0,0,0,High,3,0,0,3
1973.6,Online Purchase,22,Tablet,Miami,1,8,9,Credit Card,0,1,0,0,1,High,3,2,4,0
3549.86,ATM Withdrawal,7,Desktop,Miami,3,52,13,Debit Card,0,0,0,1,0,High,0,0,4,1
743,POS Payment,18,Mobile,New York,1,7,12,Credit Card,0,0,0,1,1,Medium,4,1,5,0
3780.41,Online Purchase,13,Mobile,Miami,2,89,11,Net Banking,0,0,1,0,0,High,3,1,4,2
2747.17,ATM Withdrawal,19,Tablet,Houston,3,3,1,Credit Card,0,0,0,0,1,High,0,2,2,0
1346.72,Online Purchase,18,Mobile,Chicago,3,7,11,Unknown,0,0,0,0,1,High,3,1,1,4
2475.05,POS Payment,17,Tablet,Houston,4,5,14,Unknown,0,0,1,1,1,High,4,2,2,4
3486.23,Online Purchase,21,Mobile,Chicago,0,98,9,UPI,0,0,0,0,0,High,3,1,1,3
64.37,Bill Payment,18,Tablet,Boston,3,80,1,Unknown,0,0,0,0,0,Very Low,2,2,0,4
3189.15,POS Payment,13,Mobile,Miami,2,54,12,Unknown,0,0,1,1,0,High,4,1,4,4
2710.25,POS Payment,3,Tablet,San Francisco,4,33,13,Credit Card,0,1,0,1,0,High,4,2,6,0
1105.33,Online Purchase,16,Mobile,Los Angeles,4,7,14,Net Banking,0,0,1,1,1,High,3,1,3,2
3766.14,Online Purchase,10,Desktop,New York,4,98,13,Debit Card,0,0,1,1,0,High,3,0,5,1
1520.79,Bank Transfer,23,Tablet,San Francisco,4,83,13,Net Banking,0,1,0,1,0,High,1,2,6,2
1387.92,Bank Transfer,17,Mobile,San Francisco,1,119,7,Net Banking,0,0,1,0,0,High,1,1,6,2
2358.74,POS Payment,12,Mobile,San Francisco,3,106,14,Net Banking,0,0,1,1,0,High,4,1,6,2
3382.37,Bank Transfer,8,Desktop,Unknown,3,30,11,Unknown,0,0,0,0,0,High,1,0,8,4
4644.59,Bank Transfer,6,Tablet,San Francisco,1,59,7,Debit Card,0,0,0,0,0,High,1,2,6,1
711.08,Bank Transfer,12,Mobile,Boston,2,61,4,Net Banking,0,0,1,0,0,Medium,1,1,0,2
1985.36,Bill Payment,0,Tablet,Boston,4,8,12,UPI,0,1,0,1,1,High,2,2,0,3
339.61,Bank Transfer,12,Desktop,San Francisco,4,102,9,Credit Card,0,0,1,0,0,Low,1,0,6,0
3793.96,Bank Transfer,20,Mobile,San Francisco,1,70,12,UPI,0,0,0,1,0,High,1,1,6,3
2241.43,Bill Payment,10,Desktop,Miami,0,56,10,UPI,0,0,1,0,0,High,2,0,4,3
3536.11,Online Purchase,2,Tablet,New York,2,19,11,Unknown,0,1,0,0,1,High,3,2,5,4
1614.36,POS Payment,12,Mobile,Houston,2,19,9,UPI,0,0,1,0,1,High,4,1,2,3
4222.36,ATM Withdrawal,10,Desktop,New York,2,118,5,UPI,0,0,1,0,0,High,0,0,5,3
2676.47,Online Purchase,12,Desktop,Chicago,3,62,8,Credit Card,0,0,1,0,0,High,3,0,1,0
4718.32,Bill Payment,21,Unknown Device,Miami,2,100,7,UPI,0,0,0,0,0,High,2,4,4,3
398.68,Bill Payment,20,Desktop,Houston,2,23,13,Debit Card,0,0,0,1,1,Low,2,0,2,1
2573.81,POS Payment,22,Unknown Device,Chicago,1,51,9,UPI,0,1,0,0,0,High,4,4,1,3
3833.44,Bank Transfer,17,Mobile,Seattle,4,70,2,Credit Card,0,0,1,0,0,High,1,1,7,0
49997.8,ATM Withdrawal,3,Tablet,Unknown,3,103,6,UPI,0,1,0,0,0,Very High,0,2,8,3
120.85,ATM Withdrawal,14,Mobile,New York,4,8,4,Debit Card,0,0,1,0,1,Low,0,1,5,1
4861.83,ATM Withdrawal,17,Tablet,San Francisco,2,54,10,Credit Card,0,0,1,0,0,High,0,2,6,0
1494.83,Online Purchase,19,Unknown,New York,1,25,1,Credit Card,0,0,0,0,1,High,3,3,5,0
1250.14,Bill Payment,8,Tablet,Seattle,2,43,7,UPI,0,0,0,0,0,High,2,2,7,3
2430.87,ATM Withdrawal,8,Mobile,Houston,2,78,9,Net Banking,0,0,0,0,0,High,0,1,2,2
2713.08,ATM Withdrawal,14,Desktop,Seattle,1,43,12,Net Banking,0,0,1,1,0,High,0,0,7,2
3832.61,Bank Transfer,12,Desktop,Chicago,2,13,5,Credit Card,0,0,1,0,1,High,1,0,1,0
1969.4,Online Purchase,5,Tablet,Houston,0,77,6,Net Banking,0,1,0,0,0,High,3,2,2,2
